gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
FLT3LG,3.22,7.5,4.82,5.73,5.34,6.99,7.82,5.98,5.37,5.23,6.1,6.68,5.36,3.37,4.62,4.38
ERI1,5.15,7.44,9.91,9.69,10.77,12.02,10.99,11.34,4.82,5.02,6.17,6.46,6.33,9.98,10.21,9.36
SAP130,13.29,17.69,20.28,19.25,19.65,20.72,20.87,21.34,9.24,7.72,14.01,11.07,14.3,15.16,15.03,15.98
LOC100129098,0.15,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.0,0.02,0.0,0.0
SPIN1,31.54,45.03,34.69,34.94,37.22,19.93,18.8,19.51,33.83,24.43,33.13,27.11,31.97,40.31,36.5,37.84
WNT6,0.13,0.13,0.21,0.15,0.03,1.58,1.12,1.44,0.24,0.08,0.06,0.35,0.28,0.15,0.03,0.12
SGPL1,22.9,11.95,6.6,6.32,6.8,9.35,9.02,8.89,16.55,15.69,5.47,5.02,5.03,6.01,6.52,6.32
PRRX2,0.52,0.17,0.2,0.62,0.0,0.0,0.0,0.0,0.68,0.75,0.16,0.0,0.0,0.0,0.0,0.0
PINLYP,5.33,24.48,8.29,8.69,7.43,0.59,0.42,0.61,16.02,7.42,6.2,6.39,7.07,8.41,6.31,7.59
CLTA,131.21,127.46,250.01,238.6,213.97,221.6,227.08,209.0,148.77,165.26,158.81,186.52,140.48,228.9,237.39,237.41
TRAPPC4,35.98,28.8,17.08,16.91,16.63,33.79,32.16,32.34,24.41,21.36,10.44,11.42,11.67,14.5,16.34,12.18
LRRC47,23.1,18.88,16.41,16.67,16.09,22.45,22.71,24.44,31.16,15.1,11.74,11.84,11.73,12.91,12.8,14.24
CXorf40A,7.38,7.59,6.28,7.04,7.41,10.74,10.39,10.59,7.94,6.39,7.55,7.93,7.86,5.82,6.02,5.18
GDF5,2.91,0.24,1.38,1.39,1.36,0.15,0.16,0.15,0.41,0.15,0.98,1.16,1.09,0.91,0.89,1.06
SORBS2,3.9,1.85,3.93,4.08,4.24,8.3,8.14,8.27,6.17,0.58,2.52,1.81,2.68,3.06,3.12,3.24
CSPP1,6.09,7.77,3.12,2.84,2.89,2.81,3.13,2.95,6.36,5.5,3.09,3.56,2.59,3.91,3.39,3.48
PPP3CC,21.46,6.29,10.05,9.38,10.84,9.26,9.61,9.4,12.78,11.24,12.68,12.81,11.39,9.32,11.18,10.73
UBE2R2,27.14,37.23,33.18,32.09,29.93,46.36,48.05,48.56,38.15,27.04,40.15,40.35,38.95,36.39,35.16,33.88
SNX9,15.21,15.48,67.47,67.16,73.19,16.86,16.96,15.77,19.28,29.46,80.63,73.99,76.29,74.13,71.43,72.04
TNFSF8,3.62,0.9,0.0,0.0,0.05,0.0,0.0,0.0,4.71,7.45,0.0,0.0,0.0,0.0,0.0,0.0
TRAIP,5.33,6.11,12.73,12.47,12.0,7.07,6.98,6.38,2.34,0.76,3.18,2.91,3.71,7.6,9.58,7.12
DR1,15.26,17.08,12.94,12.93,13.73,34.05,33.82,34.81,10.88,10.42,10.48,9.18,10.35,14.78,15.09,15.1
IGFN1,0.01,0.86,0.04,0.05,0.07,0.0,0.0,0.0,0.16,0.03,0.16,0.1,0.15,0.05,0.04,0.03
AES,217.76,310.06,228.83,241.59,221.77,261.81,270.34,272.21,231.49,99.93,348.45,408.53,378.08,206.42,216.91,224.38
FAM169A,4.68,3.44,0.17,0.3,0.35,4.4,4.24,4.66,4.56,3.96,0.19,0.13,0.16,0.34,0.24,0.25
WIF1,0.06,1.15,0.0,0.0,0.0,0.02,0.0,0.02,5.66,0.12,0.0,0.0,0.0,0.0,0.0,0.0
DLL3,28.2,40.63,0.0,0.0,0.0,0.64,0.58,0.85,14.05,0.21,0.0,0.03,0.03,0.0,0.03,0.0
RNF149,16.01,14.25,4.52,4.53,4.05,21.08,21.97,21.91,18.84,59.59,3.13,4.05,2.81,5.03,5.53,5.61
AQP11,2.12,2.19,0.78,0.8,0.58,2.45,2.39,2.4,1.43,1.01,0.41,0.35,0.56,0.66,0.78,0.69
COX14,26.4,26.06,30.4,30.63,24.13,16.61,14.52,13.56,35.33,41.73,31.63,38.22,32.04,24.57,24.19,23.99
ANP32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.02,0.0,0.0
