gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8,RR9
A1BG,0.0,0.0,0.0,4.49045,3.83268,3.93388,3.10985,3.48288,3.14179,4.53623,4.81441,5.08279,2.69851,2.69851,2.89441,8.74365,7.91883,9.2552
A1BG-AS1,0.0,0.0,0.634915,0.436834,0.353267,0.439188,0.266979,0.42625,0.322549,0.22991,0.287052,0.227462,0.281488,0.281488,0.564895,1.3493,1.35315,1.0952
A1CF,4.98646,3.4175,6.01932,0.0184512,0.0094148,0.0154704,0.0062816,0.0559466,0.034177,0.0060886,0.0,0.0,0.00916193,0.00916193,0.00459555,0.0,0.0,0.0
A2M,0.248565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M-AS1,5.61856,4.74236,3.08237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0609882,0.152905,0.0912285
A2ML1,3.76654,2.86296,2.92258,0.0,0.0,0.0,0.0,0.0102796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0847775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3GALT2,8.32244,2.60785,22.7271,0.0,0.0,0.113539,0.0,0.0,0.151661,0.0,0.0,0.0,0.0511318,0.0511318,0.0,0.0,0.0,0.0
A4GALT,2.95265,3.32319,2.59134,3.56452,4.25638,4.15603,2.8749,3.56024,3.65234,15.0105,15.3738,15.5755,12.2821,12.2821,12.5009,22.1748,21.7246,23.4207
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,0.0,0.0,0.0,37.8019,34.6588,34.6226,32.977,31.4422,28.646,45.5521,51.3484,49.002,42.3083,42.3083,41.1624,69.4532,69.2134,72.4169
AACS,2.48986,3.66726,2.34425,19.309,19.2034,20.1731,17.9922,15.6973,17.0618,6.51609,7.19936,7.78466,10.3836,10.3836,10.6125,18.1855,18.1195,17.7116
AACSP1,14.1476,24.9444,19.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAC,0.0,0.0,0.0,0.0299289,0.0907674,0.0668389,0.122304,0.0732258,0.0886135,0.039486,0.0394438,0.0781018,0.0595597,0.0595597,0.0895965,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,2.15042,2.48049,0.0,0.0,0.0,0.0,0.0,0.0,0.109062,0.0,0.0,0.0,0.0,0.0,0.0,0.113204,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168065,0.016854,0.033536
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0,0.154272,0.0779826,0.0430467,0.0,0.0946624,0.0572467,0.204123,0.560799,0.60538,0.423807,0.423807,0.34755,0.164641,0.220155,0.0546931
AADAT,20.4923,22.5146,23.1238,3.40511,2.60224,2.85889,4.35177,3.93365,3.73478,3.26175,4.36028,4.16138,3.19679,3.19679,3.7322,1.74043,1.62875,2.31864
AAED1,0.0,0.0,0.0,14.8256,14.4917,15.7225,17.252,15.3931,15.6343,23.157,22.1602,23.8552,14.4988,14.4988,13.5448,11.1739,10.389,10.8448
AAGAB,4.23906,3.97355,3.80913,33.7295,33.1804,33.0313,29.972,29.5502,29.2451,37.7304,38.3386,37.8183,34.7891,34.7891,32.9444,55.5843,59.5953,59.2342
AAK1,9.72051,11.2074,12.7649,5.59332,5.47269,5.57603,5.82392,5.89459,5.82378,3.15259,3.0222,3.37418,2.32809,2.32809,2.41046,2.81859,2.85872,3.04016
AAMDC,0.0,0.0,0.0,29.0497,28.5634,27.457,24.0987,29.0282,26.2196,19.9443,24.3796,25.4351,20.3184,20.3184,16.2954,52.6972,47.0066,52.3428
AAMP,0.0,0.0,0.0,73.4844,73.4227,71.0055,63.4446,64.1688,61.6491,59.3829,54.9022,57.1307,60.4504,60.4504,58.7336,108.738,103.075,106.904
AANAT,27.1103,40.0496,21.1634,0.0507121,0.0,0.0565651,0.069597,0.0,0.151107,0.207493,0.0323528,0.0961217,0.204446,0.204446,0.0734718,0.282221,0.43,0.356005
AAR2,9.74748,6.8547,15.5141,38.3396,37.9561,37.6152,37.085,32.0984,34.6049,36.9257,37.9285,38.2688,35.975,35.975,35.5437,40.8044,39.9863,38.5775
AARD,4.24019,3.97825,4.64873,1.40724,1.31522,1.30476,1.48106,1.26521,1.178,2.13445,2.06218,2.2151,1.52997,1.52997,1.85224,2.66299,2.74691,2.88265
AARS,0.353067,1.32369,1.93914,93.9469,91.5421,91.6184,83.3541,82.3705,81.3602,69.7418,71.554,70.1071,96.3088,96.3088,95.8509,230.415,225.234,231.7
AARS2,0.724559,2.03669,1.59275,6.32858,6.16379,6.239,6.24851,6.05955,6.40579,3.73513,3.4646,3.3026,4.49215,4.49215,4.70293,5.00654,4.92695,5.12809
AARSD1,22.3053,15.4797,16.9876,18.4845,17.5191,17.8126,12.9733,12.8691,14.5983,22.6713,21.9337,19.613,17.6879,17.6879,17.8399,37.6058,39.623,42.7108
