Gene symbol	Con1__2
A1BG	0
A1BG-AS1	0
A1CF	3.4175
A2M	0
A2M-AS1	4.74236
A2ML1	2.86296
A2MP1	0
A3GALT2	2.60785
A4GALT	3.32319
A4GNT	0
AA06	0
AAAS	0
AACS	3.66726
AACSP1	24.9444
AADAC	0
AADACL2	0
AADACL2-AS1	2.15042
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	22.5146
AAED1	0
AAGAB	3.97355
AAK1	11.2074
AAMDC	0
AAMP	0
AANAT	40.0496
AAR2	6.8547
AARD	3.97825
AARS	1.32369
AARS2	2.03669
AARSD1	15.4797
AASDH	0
AASDHPPT	0
AASS	2.55617
AATBC	5.4243
AATF	0
AATK	1.05995
AATK-AS1	0
ABALON	0.616571
ABAT	8.76398
ABCA1	2.80669
ABCA10	4.89546
ABCA11P	34.6943
ABCA12	0.131097
ABCA13	0.607238
ABCA17P	4.42496
ABCA2	1.95117
ABCA3	0.322188
ABCA4	0
ABCA5	6.76182
ABCA6	0
ABCA7	0.625293
ABCA8	0
ABCA9	1.52679
ABCA9-AS1	0
ABCB1	0.229694
ABCB10	0
ABCB11	7.70601
ABCB4	0
ABCB5	25.4067
ABCB6	2.95733
ABCB7	0
ABCB8	0
ABCB9	0
ABCC1	0
ABCC10	0.214687
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	0
ABCC3	7.09514
ABCC4	6.85135
ABCC5	5.50484
ABCC5-AS1	0
ABCC6	2.31852
ABCC6P1	22.7319
ABCC6P2	0
ABCC8	4.39141
ABCC9	311.572
ABCD1	0
ABCD2	13.5025
ABCD3	3.65172
ABCD4	0
ABCE1	0.519992
ABCF1	0
ABCF2	26.693
ABCF3	0
ABCG1	9.95082
ABCG2	5.34712
ABCG4	0
ABCG5	0.410669
ABCG8	16.9335
ABHD1	12.7348
ABHD10	2.20274
ABHD11	5.7478
ABHD11-AS1	0
ABHD12	17.2656
ABHD12B	1.65563
ABHD13	0
ABHD14A	0
ABHD14A-ACY1	0
ABHD14B	0
ABHD15	16.4878
ABHD16A	4.95632
ABHD16B	0
ABHD17A	7.74265
ABHD17B	0
ABHD17C	22.7507
ABHD2	9.32266
ABHD3	3.30032
ABHD4	0.45236
ABHD5	18.8994
ABHD6	0
ABHD8	0
ABI1	18.1166
ABI2	0.87519
ABI3	15.5165
ABI3BP	0
ABL1	2.11892
ABL2	22.0672
ABLIM1	4.98644
ABLIM2	2.19617
ABLIM3	12.1624
ABO	53.554
ABR	6.43043
ABRA	0
ABRACL	0
ABT1	0
ABTB1	0
ABTB2	1.10217
ACAA1	24.4248
ACAA2	7.26397
ACACA	2.56604
ACACB	1.82673
ACAD10	3.8118
ACAD11	0
ACAD8	10.9868
ACAD9	7.91296
ACADL	0
ACADM	0
ACADS	0
ACADSB	4.86929
ACADVL	6.19882
ACAN	5.07871
ACAP1	0.452559
ACAP2	1.03873
ACAP3	3.21163
ACAT1	0
ACAT2	17.189
ACBD3	0
ACBD4	5.68948
ACBD5	11.1032
ACBD6	0
ACBD7	8.53264
ACCS	15.0318
ACCSL	0
ACD	19.6124
ACE	6.72641
ACE2	0
ACER1	0
ACER2	1.17931
ACER3	17.2686
ACHE	8.69277
ACIN1	26.0502
ACKR1	10.4415
ACKR2	8.30567
ACKR3	13.7873
ACKR4	0
ACLY	0
ACMSD	18.2287
ACO1	6.83216
ACO2	16.0097
ACOT1	0
ACOT11	4.53989
ACOT12	0
ACOT13	16.4883
ACOT2	0
ACOT4	0
ACOT6	36.0743
ACOT7	17.4399
ACOT8	0
ACOT9	0
ACOX1	4.62107
ACOX2	0
ACOX3	0
ACOXL	1.92447
ACP1	40.8091
ACP2	8.96918
ACP5	0
ACP6	0
ACPP	0.713197
ACPT	4.62238
ACR	0
ACRBP	0
ACRC	3.14621
ACRV1	0
ACSBG1	0
ACSBG2	23.1722
ACSF2	0
ACSF3	14.1038
ACSL1	10.2272
ACSL3	0.768047
ACSL4	0.214908
ACSL5	0
ACSL6	5.42948
ACSM1	0
ACSM2A	19.0807
ACSM2B	10.8976
ACSM3	0
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	30.8174
ACSS2	0
ACSS3	0
ACTA1	0
ACTA2	0.67522
ACTA2-AS1	0
ACTB	310.409
ACTBL2	0
ACTC1	22.6128
ACTG1	242.583
ACTG1P17	0.725681
ACTG1P20	16.1733
ACTG1P4	0
ACTG2	0
ACTL10	0
ACTL6A	1.35399
ACTL6B	0
ACTL7A	11.1328
ACTL7B	14.9124
ACTL8	2.52994
ACTL9	6.85978
ACTN1	3.55292
ACTN1-AS1	0
ACTN2	4.61922
ACTN3	0
ACTN4	19.0898
ACTR10	1.86518
ACTR1A	2.33985
ACTR1B	0
ACTR2	39.0689
ACTR3	25.822
ACTR3B	22.6361
ACTR3BP2	1.86402
ACTR3BP5	0
ACTR3C	0
ACTR5	0.458404
ACTR6	0.922561
ACTR8	0
ACTRT1	0
ACTRT2	56.2985
ACTRT3	16.87
ACVR1	0.391304
ACVR1B	0
ACVR1C	22.0435
ACVR2A	0
ACVR2B	13.8602
ACVR2B-AS1	0
ACVRL1	3.17324
ACY1	1.6758
ACY3	0
ACYP1	0
ACYP2	15.6209
ADA	0
ADAD1	3.69499
ADAD2	0
ADAL	0
ADAM10	12.6507
ADAM11	10.1241
ADAM12	1.58456
ADAM15	13.0167
ADAM17	7.13197
ADAM18	3.32738
ADAM19	0.326999
ADAM1A	0
ADAM2	0
ADAM20	8.44876
ADAM20P1	9.91688
ADAM21	6.35266
ADAM21P1	0.566984
ADAM22	17.2839
ADAM23	0
ADAM28	13.255
ADAM29	7.20214
ADAM30	14.926
ADAM32	0.41281
ADAM33	1.58479
ADAM3A	3.28789
ADAM5	0
ADAM6	21.1054
ADAM7	4.23127
ADAM8	6.26183
ADAM9	0
ADAMDEC1	0.515747
ADAMTS1	23.0679
ADAMTS10	0
ADAMTS12	0
ADAMTS13	20.1721
ADAMTS14	0.614464
ADAMTS15	1.513
ADAMTS16	0
ADAMTS17	14.1799
ADAMTS18	1.6311
ADAMTS19	0
ADAMTS19-AS1	0
ADAMTS2	1.19904
ADAMTS20	0
ADAMTS3	7.73574
ADAMTS4	10.5481
ADAMTS5	6.98611
ADAMTS6	2.78014
ADAMTS7	7.04943
ADAMTS7P1	0
ADAMTS8	0.300139
ADAMTS9	2.18121
ADAMTS9-AS1	8.63353
ADAMTS9-AS2	0
ADAMTSL1	9.33459
ADAMTSL2	8.05322
ADAMTSL3	8.16968
ADAMTSL4	5.80118
ADAMTSL4-AS1	3.84856
ADAMTSL5	0
ADAP1	0.600731
ADAP2	4.09199
ADAR	8.42462
ADARB1	0
ADARB2	2.38716
ADARB2-AS1	0
ADAT1	13.3659
ADAT2	11.2801
ADAT3	0
ADCK1	0
ADCK2	3.8652
ADCK3	8.41681
ADCK4	0
ADCK5	0
ADCY1	15.4423
ADCY10	2.60395
ADCY10P1	0.474833
ADCY2	0.977272
ADCY3	14.5898
ADCY4	0
ADCY5	7.7826
ADCY6	0.182385
ADCY7	0
ADCY8	21.8241
ADCY9	6.45593
ADCYAP1	8.16526
ADCYAP1R1	16.2842
ADD1	0
ADD2	17.0866
ADD3	8.07516
ADD3-AS1	0
ADGB	1.01802
ADGRA1	2.98226
ADGRA1-AS1	0
ADGRA2	23.7786
ADGRA3	5.46311
ADGRB1	0
ADGRB2	9.06885
ADGRB3	4.38128
ADGRD1	16.3875
ADGRE1	0
ADGRE2	11.7646
ADGRE3	0
ADGRE4P	4.53182
ADGRE5	24.183
ADGRF1	4.46622
ADGRF2	1.68309
ADGRF3	4.66349
ADGRF4	4.21786
ADGRF5	1.67715
ADGRG1	5.90533
ADGRG2	2.07406
ADGRG3	0
ADGRG4	4.03337
ADGRG5	12.3922
ADGRG6	8.58082
ADGRG7	0
ADGRL1	2.29977
ADGRL2	0
ADGRL3	0
ADGRL3-AS1	0
ADGRL4	0.30404
ADGRV1	0.920141
ADH1A	0
ADH1B	5.02424
ADH1C	0
ADH4	2.90694
ADH5	8.51576
ADH6	0
ADH7	0
ADHFE1	0
ADI1	28.0646
ADIG	2.42105
ADIPOQ	2.13231
ADIPOQ-AS1	9.30359
ADIPOR1	1.70376
ADIPOR2	0
ADIRF	2.34476
ADK	0.629
ADM	4.55311
ADM2	13.0071
ADM5	0
ADNP	0
ADNP-AS1	1.29572
ADNP2	17.1769
ADO	12.9753
ADORA1	0
ADORA2A	42.7521
ADORA2A-AS1	0.671257
ADORA2B	0.623292
ADORA3	0
ADPGK	11.1036
ADPGK-AS1	0
ADPRH	16.6542
ADPRHL1	13.7792
ADPRHL2	0
ADPRM	0
ADRA1A	5.01619
ADRA1B	6.62291
ADRA1D	22.8508
ADRA2A	10.1815
ADRA2B	1.31607
ADRA2C	0.596906
ADRB1	15.2727
ADRB2	0
ADRB3	32.8536
ADRBK1	2.2443
ADRBK2	22.7529
ADRM1	47.5599
ADSL	12.5046
ADSS	11.3092
ADSSL1	0
ADTRP	9.83161
AEBP1	0.267183
AEBP2	32.6654
AEN	10.3558
AES	17.162
AFAP1	9.46711
AFAP1-AS1	15.062
AFAP1L1	2.13913
AFAP1L2	0
AFF1	3.75264
AFF2	1.96521
AFF3	11.7463
AFF4	5.39624
AFG3L1P	7.63743
AFG3L2	5.88092
AFM	0
AFMID	10.3178
AFP	0
AFTPH	0
AGA	0
AGAP1	10.827
AGAP1-IT1	0
AGAP11	13.7409
AGAP2	26.4755
AGAP2-AS1	0
AGAP3	1.62453
AGAP4	7.92701
AGAP5	0
AGAP6	10.1373
AGAP7P	20.838
AGAP9	0
AGBL1	0
AGBL1-AS1	0
AGBL2	1.22557
AGBL3	0
AGBL4	0
AGBL4-IT1	0
AGBL5	2.80285
AGBL5-AS1	0
AGER	0
AGFG1	3.96244
AGFG2	2.02378
AGGF1	0
AGK	40.1562
AGL	0
AGMAT	3.8771
AGMO	27.5533
AGO1	6.96199
AGO2	0.65054
AGO3	0
AGO4	2.86485
AGPAT1	0
AGPAT2	0
AGPAT3	8.13291
AGPAT4	2.01944
AGPAT4-IT1	0
AGPAT5	5.06332
AGPAT6	7.28387
AGPAT9	5.58118
AGPS	8.03336
AGR2	0
AGR3	0
AGRN	1.30612
AGRP	0
AGT	2.63091
AGTPBP1	0
AGTR1	0
AGTR2	1.15851
AGTRAP	1.1521
AGXT	5.28082
AGXT2	1.22799
AHCTF1	4.29005
AHCTF1P1	6.82016
AHCY	0
AHCYL1	11.929
AHCYL2	5.05159
AHDC1	0.336129
AHI1	23.6444
AHNAK	24.1517
AHNAK2	13.9452
AHR	17.6302
AHRR	13.6028
AHSA1	22.9441
AHSA2	0.367949
AHSG	0
AHSP	0
AICDA	0.804015
AIDA	7.05406
AIF1	16.372
AIF1L	8.54352
AIFM1	7.51693
AIFM2	3.0738
AIFM3	2.48934
AIG1	6.06709
AIM1	11.5486
AIM1L	16.8421
AIM2	0
AIMP1	0
AIMP2	0
AIP	0
AIPL1	2.01781
AIRE	0
AIRN	27.0569
AJAP1	10.5993
AJUBA	0
AK1	8.60959
AK2	60.4719
AK3	9.58955
AK4	1.85793
AK5	0
AK6	0
AK7	0
AK8	0
AK9	0.611962
AKAP1	13.5057
AKAP10	3.88686
AKAP11	2.65654
AKAP12	11.8422
AKAP13	0.786634
AKAP14	0
AKAP17A	0
AKAP2	1.88084
AKAP3	0.331348
AKAP4	0
AKAP5	0.822988
AKAP6	3.64947
AKAP7	11.0539
AKAP8	14.9291
AKAP8L	8.84012
AKAP9	2.52989
AKIP1	10.1533
AKIRIN1	0
AKIRIN2	0.606043
AKNA	10.9417
AKNAD1	0
AKR1A1	0
AKR1B1	14.1437
AKR1B10	0
AKR1B15	0.739763
AKR1C1	0
AKR1C2	0.314626
AKR1C3	0
AKR1C4	0
AKR1C6P	0
AKR1C8P	5.43627
AKR1D1	1.74945
AKR1E2	0
AKR7A2	10.356
AKR7A2P1	0
AKR7A3	0
AKR7L	11.4768
AKT1	3.64798
AKT1S1	4.56192
AKT2	11.6766
AKT3	2.85565
AKTIP	7.33415
ALAD	10.8186
ALAS1	3.04158
ALAS2	12.8479
ALB	0
ALCAM	17.849
ALDH16A1	15.5186
ALDH18A1	6.06694
ALDH1A1	0.482018
ALDH1A2	0
ALDH1A3	6.06977
ALDH1B1	21.7734
ALDH1L1	0
ALDH1L1-AS1	0
ALDH1L1-AS2	21.6757
ALDH1L2	0
ALDH2	0
ALDH3A1	0.668455
ALDH3A2	6.52881
ALDH3B1	0.914362
ALDH3B2	0
ALDH4A1	0
ALDH5A1	2.1017
ALDH6A1	4.43318
ALDH7A1	15.5179
ALDH8A1	4.73372
ALDH9A1	20.8912
ALDOA	120.39
ALDOB	0.938972
ALDOC	0
ALG1	10.8482
ALG10	4.26888
ALG10B	16.5268
ALG11	22.5162
ALG12	0
ALG13	0.261875
ALG14	0
ALG1L	7.14341
ALG1L2	1.39967
ALG1L9P	18.7195
ALG2	1.58573
ALG3	0
ALG5	0
ALG6	0.984221
ALG8	0
ALG9	3.33079
ALK	0.170656
ALKBH1	7.00383
ALKBH2	30.156
ALKBH3	1.54157
ALKBH3-AS1	0
ALKBH4	17.9967
ALKBH5	1.60858
ALKBH6	0
ALKBH7	30.0145
ALKBH8	11.0927
ALLC	0
ALMS1	4.70501
ALMS1-IT1	6.06505
ALMS1P	0.757735
ALOX12	3.87611
ALOX12-AS1	0
ALOX12B	0
ALOX12P2	24.774
ALOX15	13.0217
ALOX15B	9.11127
ALOX15P1	0
ALOX5	1.43196
ALOX5AP	0
ALOXE3	0
ALPI	4.73957
ALPK1	16.7705
ALPK2	6.84604
ALPK3	3.66112
ALPL	3.95618
ALPP	0
ALPPL2	0
ALS2	2.85094
ALS2CL	0
ALS2CR11	20.7534
ALS2CR12	7.10466
ALX1	0
ALX3	0
ALX4	14.1635
ALYREF	1.19217
AMACR	0
AMBN	0
AMBP	0
AMBRA1	12.5811
AMD1	5.45681
AMDHD1	0.541055
AMDHD2	0
AMELX	0
AMELY	0
AMER1	1.37918
AMER2	7.42376
AMER3	28.0924
AMFR	0
AMH	8.07568
AMHR2	7.59889
AMICA1	0
AMIGO1	16.1015
AMIGO2	6.83276
AMIGO3	0
AMMECR1	0
AMMECR1L	4.19984
AMN	0
AMN1	7.0848
AMOT	1.6389
AMOTL1	12.3056
AMOTL2	18.3902
AMPD1	6.19364
AMPD2	19.5531
AMPD3	13.9597
AMPH	1.67834
AMT	0
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	9.60649
AMZ2	0.654605
AMZ2P1	0
ANAPC1	7.27135
ANAPC10	0
ANAPC11	0
ANAPC13	27.4653
ANAPC15	0
ANAPC16	7.40635
ANAPC1P1	13.3902
ANAPC2	0
ANAPC4	0
ANAPC5	0.483146
ANAPC7	16.6655
ANG	0
ANGEL1	10.0875
ANGEL2	6.928
ANGPT1	11.293
ANGPT2	16.0384
ANGPT4	0
ANGPTL1	0
ANGPTL2	4.93313
ANGPTL3	0.378786
ANGPTL4	32.3124
ANGPTL5	2.89346
ANGPTL6	0.634043
ANGPTL7	0
ANHX	0
ANK1	0.548049
ANK2	0.929148
ANK3	7.97134
ANKAR	16.2427
ANKDD1A	0
ANKDD1B	0.44397
ANKEF1	5.46515
ANKFN1	0
ANKFY1	10.9066
ANKH	11.8764
ANKHD1	8.89122
ANKHD1-EIF4EBP3	0.000435656
ANKIB1	0.880131
ANKK1	12.9253
ANKLE1	6.55297
ANKLE2	8.47975
ANKMY1	6.4899
ANKMY2	0
ANKRA2	0
ANKRD1	4.73134
ANKRD10	17.4579
ANKRD11	13.1584
ANKRD12	14.0238
ANKRD13A	0
ANKRD13B	0
ANKRD13C	12.6924
ANKRD13D	0
ANKRD16	11.6067
ANKRD17	7.74399
ANKRD18A	0.587432
ANKRD18B	0
ANKRD18DP	18.5641
ANKRD19P	0.496432
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	111.763
ANKRD20A19P	2.54022
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	1.18535
ANKRD20A8P	0
ANKRD20A9P	40.611
ANKRD22	0.274523
ANKRD23	0
ANKRD24	0.271411
ANKRD26	9.4392
ANKRD26P1	9.26285
ANKRD26P3	0
ANKRD27	0
ANKRD28	6.16936
ANKRD29	0
ANKRD30A	7.40253
ANKRD30B	18.0809
ANKRD30BL	9.15402
ANKRD30BP2	15.8383
ANKRD30BP3	0
ANKRD31	1.59652
ANKRD32	0
ANKRD33	0
ANKRD33B	9.84115
ANKRD34A	26.5064
ANKRD34B	11.4014
ANKRD34C	2.97461
ANKRD34C-AS1	0
ANKRD35	0.360062
ANKRD36	0
ANKRD36B	1.43147
ANKRD36BP1	0.636788
ANKRD36BP2	0.687855
ANKRD36C	0.656572
ANKRD37	2.93924
ANKRD39	0
ANKRD40	15.1698
ANKRD42	4.59157
ANKRD44	21.9875
ANKRD44-IT1	12.3212
ANKRD45	0.422294
ANKRD46	0
ANKRD49	17.8592
ANKRD50	9.25542
ANKRD52	8.67685
ANKRD53	0
ANKRD54	32.0895
ANKRD55	0
ANKRD6	3.26595
ANKRD60	9.73056
ANKRD61	0
ANKRD62	1.8301
ANKRD62P1-PARP4P3	0.789105
ANKRD63	3.39559
ANKRD65	44.8996
ANKRD66	46.253
ANKRD7	13.7437
ANKRD9	26.6124
ANKS1A	7.06679
ANKS1B	6.48011
ANKS3	3.38809
ANKS4B	2.31096
ANKS6	2.38214
ANKUB1	0
ANKZF1	13.1867
ANLN	0
ANO1	0.450025
ANO1-AS2	0
ANO10	0
ANO2	5.04495
ANO3	7.58109
ANO4	1.44426
ANO5	5.76745
ANO6	13.599
ANO7	0
ANO8	0
ANO9	0
ANOS1	4.06274
ANP32A	40.1134
ANP32A-IT1	0.337763
ANP32AP1	0
ANP32B	0
ANP32C	0
ANP32D	0
ANP32E	20.6187
ANPEP	13.2564
ANTXR1	21.9202
ANTXR2	26.1395
ANTXRL	2.00702
ANTXRLP1	1.36986
ANXA1	2.37095
ANXA10	0
ANXA11	5.5378
ANXA13	0
ANXA2	15.5908
ANXA2P1	0
ANXA2P2	4.78127
ANXA2P3	0
ANXA2R	0
ANXA3	0
ANXA4	13.4838
ANXA5	0
ANXA6	8.59246
ANXA7	9.18826
ANXA8	0
ANXA8L1	1.21489
ANXA9	0
AOAH	0
AOAH-IT1	0
AOC1	9.81443
AOC2	10.9481
AOC3	0
AOC4P	8.3938
AOX1	0
AOX2P	0.588271
AP1AR	0
AP1B1	15.2215
AP1B1P1	50.3042
AP1G1	2.9606
AP1G2	0
AP1M1	15.0412
AP1M2	5.42651
AP1S1	0
AP1S2	0
AP1S3	37.6908
AP2A1	5.14744
AP2A2	15.8371
AP2B1	8.06568
AP2M1	19.3706
AP2S1	34.5759
AP3B1	16.7787
AP3B2	0
AP3D1	7.32611
AP3M1	4.62755
AP3M2	1.82855
AP3S1	33.1596
AP3S2	0
AP4B1	6.43726
AP4B1-AS1	1.37223
AP4E1	4.57433
AP4M1	0
AP4S1	4.15284
AP5B1	0.161803
AP5M1	10.6861
AP5S1	1.96131
AP5Z1	5.25807
APAF1	5.96237
APBA1	2.43125
APBA2	10.6983
APBA3	1.60461
APBB1	8.11913
APBB1IP	0
APBB2	0.457191
APBB3	2.71223
APC	6.76624
APC2	7.05749
APCDD1	0
APCDD1L	24.5271
APCDD1L-AS1	3.31605
APCS	0
APEH	9.78577
APELA	12.9287
APEX1	0
APEX2	0
APH1A	53.5556
APH1B	4.82935
API5	12.5226
APIP	7.892
APITD1	0
APITD1-CORT	0.00246411
APLF	0.284698
APLN	10.6702
APLNR	22.9164
APLP1	0
APLP2	29.283
APMAP	0
APOA1	0
APOA1-AS	0
APOA1BP	2.31985
APOA2	0
APOA4	31.8931
APOA5	17.2124
APOB	9.48698
APOBEC1	0
APOBEC2	0
APOBEC3A	2.67028
APOBEC3A_B	14.2073
APOBEC3B	0
