Gene symbol	RR2__2
A1BG	2.69851
A1BG-AS1	0.281488
A1CF	0.00916193
A2M	0
A2M-AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0.0511318
A4GALT	12.2821
A4GNT	0
AA06	0
AAAS	42.3083
AACS	10.3836
AACSP1	0
AADAC	0.0595597
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0.423807
AADAT	3.19679
AAED1	14.4988
AAGAB	34.7891
AAK1	2.32809
AAMDC	20.3184
AAMP	60.4504
AANAT	0.204446
AAR2	35.975
AARD	1.52997
AARS	96.3088
AARS2	4.49215
AARSD1	17.6879
AASDH	1.54143
AASDHPPT	9.87998
AASS	5.06013
AATBC	0.00947472
AATF	62.1344
AATK	0
AATK-AS1	0
ABALON	34.3538
ABAT	0.425524
ABCA1	10.5515
ABCA10	0
ABCA11P	0.986903
ABCA12	0.0527951
ABCA13	0.0122469
ABCA17P	0.0418049
ABCA2	1.78468
ABCA3	5.30309
ABCA4	0.0584336
ABCA5	0.370838
ABCA6	0
ABCA7	2.10771
ABCA8	0
ABCA9	0
ABCA9-AS1	0
ABCB1	0
ABCB10	6.40665
ABCB11	0
ABCB4	0.0114917
ABCB5	0.00998113
ABCB6	8.94265
ABCB7	8.49987
ABCB8	10.6957
ABCB9	4.83119
ABCC1	13.3633
ABCC10	2.26946
ABCC11	0.0293252
ABCC12	0
ABCC13	0
ABCC2	0.29379
ABCC3	5.32873
ABCC4	12.1279
ABCC5	2.5398
ABCC5-AS1	0
ABCC6	2.1609
ABCC6P1	0.132297
ABCC6P2	1.08943
ABCC8	0
ABCC9	2.28015
ABCD1	11.8321
ABCD2	0.0243083
ABCD3	18.6919
ABCD4	6.64736
ABCE1	27.583
ABCF1	41.4341
ABCF2	33.3067
ABCF3	28.7252
ABCG1	0.0150923
ABCG2	0.945561
ABCG4	0.0122203
ABCG5	0
ABCG8	0
ABHD1	0.168172
ABHD10	9.11929
ABHD11	8.28927
ABHD11-AS1	0.787433
ABHD12	33.7398
ABHD12B	0.0328077
ABHD13	4.81724
ABHD14A	12.5453
ABHD14A-ACY1	0
ABHD14B	21.5985
ABHD15	10.4829
ABHD16A	8.75209
ABHD16B	4.24757
ABHD17A	56.4441
ABHD17B	8.33214
ABHD17C	7.11591
ABHD2	14.719
ABHD3	10.676
ABHD4	15.7688
ABHD5	7.04911
ABHD6	7.57967
ABHD8	31.7994
ABI1	15.8299
ABI2	8.62607
ABI3	4.70686
ABI3BP	0.643667
ABL1	23.4127
ABL2	4.04715
ABLIM1	10.436
ABLIM2	0.0738947
ABLIM3	9.78201
ABO	0
ABR	32.827
ABRA	0.0163421
ABRACL	10.9322
ABT1	12.2717
ABTB1	7.67644
ABTB2	6.77711
ACAA1	28.8775
ACAA2	35.3518
ACACA	6.24822
ACACB	0.77733
ACAD10	7.06735
ACAD11	3.03602
ACAD8	4.17617
ACAD9	15.1399
ACADL	0
ACADM	9.26771
ACADS	14.863
ACADSB	2.74219
ACADVL	98.9041
ACAN	0
ACAP1	2.11669
ACAP2	6.87548
ACAP3	10.2853
ACAT1	17.7185
ACAT2	6.13823
ACBD3	27.5471
ACBD4	3.33439
ACBD5	14.9669
ACBD6	28.2375
ACBD7	1.88138
ACCS	2.35706
ACCSL	0.0258218
ACD	24.8981
ACE	0.80337
ACE2	0.0126099
ACER1	0
ACER2	0.204567
ACER3	3.83712
ACHE	0.0454034
ACIN1	49.0891
ACKR1	0
ACKR2	0.0604719
ACKR3	0.549915
ACKR4	0
ACLY	70.1652
ACMSD	0
ACO1	49.5584
ACO2	16.8202
ACOT1	2.32783
ACOT11	0.230561
ACOT12	0
ACOT13	2.41838
ACOT2	14.2673
ACOT4	0
ACOT6	0.209421
ACOT7	59.1292
ACOT8	40.9222
ACOT9	44.1251
ACOX1	5.53096
ACOX2	1.04974
ACOX3	8.08564
ACOXL	0
ACP1	46.6641
ACP2	31.6762
ACP5	1.38136
ACP6	4.94299
ACPP	0.142859
ACPT	0
ACR	0
ACRBP	0.0744152
ACRC	0.560304
ACRV1	0.0519626
ACSBG1	0.045125
ACSBG2	0
ACSF2	4.36996
ACSF3	8.42657
ACSL1	8.98032
ACSL3	8.06107
ACSL4	41.1753
ACSL5	4.77368
ACSL6	0.0591966
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	0.489698
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	0
ACSS2	13.663
ACSS3	2.04706
ACTA1	0
ACTA2	18.5152
ACTA2-AS1	0.0226945
ACTB	4986.08
ACTBL2	0.0321782
ACTC1	0.107428
ACTG1	1643.04
ACTG1P17	0.11532
ACTG1P20	0.323468
ACTG1P4	0
ACTG2	0.0419013
ACTL10	3.6817
ACTL6A	38.9461
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0.528793
ACTL9	0.0339642
ACTN1	95.1749
ACTN1-AS1	0
ACTN2	0.00883588
ACTN3	0.0152282
ACTN4	232.104
ACTR10	15.15
ACTR1A	73.766
ACTR1B	14.697
ACTR2	131.825
ACTR3	41.3935
ACTR3B	3.84871
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	1.15362
ACTR5	7.91537
ACTR6	12.9234
ACTR8	9.84025
ACTRT1	0
ACTRT2	0
ACTRT3	0.0695596
ACVR1	6.92744
ACVR1B	4.98446
