"","X.GSM2184194.","X.GSM2184195.","X.GSM2184196.","X.GSM2184197.","X.GSM2184198.","X.GSM2184199.","X.GSM2184200.","X.GSM2184201.","X.GSM2184202.","X.GSM2184203.","X.GSM2184204.","X.GSM2184205.","X.GSM2184206.","X.GSM2184207."
"SEPTIN7P13",7.395033253,7.358144071,7.804425208,7.332892862,7.809447523,6.943484447,7.254139805,7.841959658,7.144627354,7.544147829,7.224294187,8.12575043,7.581973165,7.612432876
"LINC01128",8.570857893,7.875917884,7.913751532,7.931573141,8.168631549,8.293439057,8.922282449,8.957868911,8.489397792,8.112584147,7.927945161,8.128402398,8.123180825,8.667375364
"SAMD11",8.055561932,7.518293446,7.489687391,7.402511243,7.397730627,7.922923425,7.843183199,7.86019339,7.710900592,7.282173869,7.272776196,7.370572968,7.432555689,8.059972403
"KLHL17",8.565137866,8.049166348,8.003718702,7.987855611,7.993136758,8.520420893,8.438686262,8.495118743,8.399386702,7.838983926,7.935547506,7.945034389,7.954745554,8.507573368
"PLEKHN1",8.062873986,7.517274537,7.474962015,7.559940293,7.512217668,8.319189997,8.198527991,8.255580566,8.222395015,7.578818247,7.566833225,7.389052548,7.446663418,8.126575011
"ISG15",7.736802179,7.391457952,7.344051349,7.195960221,7.413487273,7.670034919,7.914109053,7.935175826,7.817756252,7.26394253,7.217482019,7.286943724,7.350942535,7.798036243
"AGRN",9.543032047,8.450466626,8.31397316,8.444585536,8.483189378,9.639083519,10.0088227,9.954960313,9.536577073,8.339033482,8.543132823,8.409623385,8.398593276,9.502671166
"MIR200B",7.04262884,6.914857201,7.104619802,6.675328753,6.888259916,7.005738134,6.713249632,7.01440048,6.856056149,6.816846812,6.889992242,6.665740118,6.715397862,6.978404401
"MIR200A",5.530232819,4.767012185,4.772800874,4.746243469,4.868086302,5.580861884,5.571064821,5.459611516,5.588143365,4.870591608,4.848593266,4.833732951,4.887905041,5.605328234
"MIR429",6.941070649,6.090654045,6.114611703,5.966331568,5.992230843,6.702879782,6.766545455,6.686035353,6.64414429,5.919554089,5.955456689,5.943603985,5.911804779,6.745154842
