"Gene","Correlation"
"NAT10",1
"PRPF19",0.977780173144524
"TRIM28",0.972648753604548
"EIF3B",0.968911607333792
"SSRP1",0.968428342319332
"DNAJC7",0.96489781841708
"FARSA",0.964534129777486
"HNRNPD",0.964257426746258
"RNF40",0.963536711738778
"DDX54",0.963506249780926
"MYBL2",0.962813973974453
"RNASEH2A",0.962450888854111
"RAB35",0.962163215830518
"URM1",0.961988725968487
"TMEM203",0.961981626784346
"CTNNBL1",0.96181816311999
"GTF2F1",0.961528567606779
"AHCY",0.961121597442699
"HNRNPM",0.959702653901191
"MRTO4",0.958761466370904
"TBRG4",0.958712669030301
"MCRS1",0.958258585585375
"IMP3",0.958101990934856
"UBAC1",0.95750542267668
"GSS",0.957358031045896
"ANP32B",0.957121144263529
"LAS1L",0.955597022106249
"RUVBL1",0.95542036950835
"TSR1",0.955417106149686
"ATP6V1H",0.955351613877955
"NDUFAB1",0.953802555873039
"RBM42",0.953488034048613
"LSM7",0.953042866813993
"CARHSP1",0.952998438637583
"SNRPD1",0.952349727242612
"AP1S1",0.952250581634084
"ZNF787",0.952030182825933
"PSMB6",0.952018720366266
"SCAF1",0.952011993183246
"PQBP1",0.951859979876718
"GATAD2A",0.95183538467603
"UBE2M",0.95173988656048
"PSMD7",0.951645095386605
"DDX56",0.951606224316608
"PDAP1",0.951600822601525
"CCT3",0.951079590105109
"XRCC6",0.95106270455014
"GTPBP4",0.950848628476928
"RPS5",0.950511368276961
"ARPC5L",0.949969754201627
"CDK5",0.949843038190419
"HSP90AA1",0.949551558734632
"HM13",0.949212656034807
"HDGF",0.949200168305487
"SUPT16H",0.948797348399188
"ZMYND19",0.948695502590005
"AAGAB",0.948633078582954
"APTX",0.948399595726145
"SF3A3",0.948136275774023
"PSMD4",0.947516710903095
"COMMD4",0.947398463968255
"CDIPT",0.94731243757462
"ACOT9",0.947261233362814
"THOP1",0.94645439813189
"TOMM22",0.946368353315571
"SLC25A3",0.946201053416892
"BRMS1",0.945493586583496
"SLC52A2",0.945453065601065
"PSMC5",0.945125098289685
"POLDIP2",0.94490118886871
"MRPS27",0.944700042024531
"PRMT1",0.944433085937839
"NUDT22",0.943965642777966
"SLC25A22",0.943688642041358
"NABP2",0.943631552127091
"PSMC1",0.943408283396479
"ZNF622",0.94273298848263
"PPM1G",0.942705812403255
"MRPL20",0.942681312870966
"DUS3L",0.942346771304135
"SARNP",0.941698185959777
"CHMP1A",0.941594873729536
"TNIP2",0.941546795843662
"YKT6",0.941297166347056
"TMED9",0.941168747847211
"CLPTM1L",0.941100072932869
"EEF1G",0.941076429827426
"NOC2L",0.940976951461402
"PTGES2",0.940919232387174
"MRPS34",0.940835519144444
"NHP2",0.940684723317421
"APEX2",0.940598910189884
"GTF3C5",0.940588804543181
"RPL7",0.940458393153887
"COPS6",0.94041554499479
"MRPL41",0.94037761320402
"CCT7",0.94031148678861
"PSMA7",0.940137852226569
"NANS",0.939952860114849
"SQSTM1",0.93990423751539
"SSU72",0.939864473162186
"DAZAP1",0.939705907700341
"FBL",0.939671499173296
"PSMB1",0.939656133021868
"CELF1",0.939522969685176
"TSR2",0.939390555167399
"YWHAB",0.93938749617277
"RNF20",0.939178045622215
"SLC35C2",0.939170655420684
"KIF22",0.939117537343175
"PSMC3",0.939059334127623
"DDX27",0.938799828958519
"INO80E",0.938719197364351
"CPTP",0.93848094007394
"PMPCA",0.93822818040509
"PARL",0.937796853549101
"AKT1S1",0.937651813644302
"UXT",0.937630833533035
"MRPL27",0.937571153231899
"NCLN",0.937531971596329
"ARMC6",0.937518931528006
"SAFB",0.937499905843798
"SPNS1",0.937257999181989
"MYDGF",0.937189624834215
"NAA10",0.937114171844753
"EXOSC2",0.936980135093791
"RBM8A",0.936647914208111
"CIAPIN1",0.936624637679623
"ZNF410",0.936550359676052
"LETM1",0.936446319991572
"APRT",0.936312208654776
"EDC3",0.93582705915924
"TARBP2",0.935825016062149
"AGTRAP",0.935784806742426
"EI24",0.935732963741681
"DIABLO",0.935732474735679
"NCL",0.93559599016351
"NUDC",0.935592065568447
"WRAP53",0.935513955718204
"NRBP1",0.935340457961059
"MPDU1",0.93523588513629
"AIP",0.935221540180654
"TSFM",0.935064434490551
"EMG1",0.935012834090094
"C9orf78",0.934754723485991
"ERGIC3",0.934478910320978
"SERTAD1",0.934455875787425
"SART3",0.934301757271469
"SLC39A3",0.934276520572634
"IDH3B",0.934220452629483
"STX4",0.934074029188595
"RPS9",0.933927360804956
"MRPS18B",0.933677488920512
"UNC45A",0.933433181847332
"SSNA1",0.933391370994504
"EIF2B2",0.933349474758682
"RPS15",0.933248714845677
"CHMP4B",0.932874956515624
"RPA3",0.932837601836017
"EEF2",0.932738543777791
"ELOF1",0.932725368337617
"FEN1",0.932540603156459
"FADD",0.932534491209149
"CD2BP2",0.932461129330301
"PLEKHJ1",0.932280934980933
"UBL7",0.932177654430048
"HRAS",0.932172438825937
"PSMD1",0.932163504593909
"RPL8",0.931947596399468
"PSMB5",0.931893574437793
"ADI1",0.93183597731479
"UROD",0.931820508173209
"CSK",0.931426858429742
"ERCC1",0.931407831390521
"AATF",0.931380023341769
"VCP",0.93132640751967
"CUTA",0.931151761468409
"TMED3",0.930998430931519
"PRDX4",0.930983152943615
"ATP13A1",0.930704103767051
"CDC34",0.930701998595998
"GADD45GIP1",0.930644992617493
"POP5",0.930405510269853
"CCDC12",0.930395238691087
"LMNA",0.930198327465136
"STX5",0.93012728917767
"PTRH2",0.930111703156001
"COASY",0.930110445777856
"DRAP1",0.929990291360223
"ADRM1",0.929893268414865
"MCM7",0.929842178757567
"HSD17B10",0.929792825978527
"BCAP31",0.929342380212447
"BABAM1",0.929247881133271
"EIF3G",0.92907216016691
"PSMD13",0.929003798326731
"PPP1CA",0.928953758711442
"NSMCE1",0.928853742040763
"SNAPC2",0.928812903325983
"PRPF31",0.928804278157795
"TCHP",0.928732907927722
"TIMM50",0.928685422091586
"NDUFS6",0.928538139615589
"EDF1",0.928524552857993
"UBL4A",0.928147126455796
"TMEM147",0.928131507170319
"SCRIB",0.928100469297145
"TAF15",0.928100360894696
"CHTOP",0.928044797136271
"IL10RB",0.928028029810723
"CCAR2",0.927730909373143
"MRPS12",0.927699983755411
"WDR74",0.927646699192419
"MEPCE",0.927472200420693
"NELFB",0.927180540867256
"RPL13",0.927022612649954
"PSMB3",0.926700917455402
"PAGR1",0.926637496608195
"COL6A1",0.926536260157097
"PPP6R1",0.926507957760501
"TRIP6",0.926326599575556
"FXYD5",0.926307842460572
"RPS19BP1",0.926198137686848
"DCTPP1",0.92604263307746
"COX4I1",0.925937110625728
"NDUFA11",0.925894316629029
"FTSJ3",0.925811052045773
"DKC1",0.925696957958992
"TUFM",0.925620956101052
"TOMM34",0.925580636046815
"SCAMP3",0.925568365096085
"ELP5",0.925267355685608
"UBE2L6",0.924944238996162
"EIF3K",0.924891221032555
"RAE1",0.924849431202454
"IMP4",0.924848390795036
"COPE",0.924676201926075
"ANP32A",0.924550574203751
"PLIN3",0.924543529520484
"ACD",0.924468863801236
"CINP",0.924427480533497
"CACTIN",0.924319280573906
"DDX39A",0.924216738021768
"ARL6IP4",0.924195159812956
"LAMTOR5",0.923947561857074
"GSTO1",0.923942829540639
"MYBBP1A",0.923781851558509
"COX5B",0.923689665605084
"AGAP3",0.923657142928484
"SGTA",0.923545671116202
"POLR3K",0.923485516742033
"TRIM44",0.923342026644608
"TRIAP1",0.922944781811907
"PES1",0.922902370302401
"TMED1",0.922718250990225
"PSMD11",0.922651338495813
"MRPL24",0.922642339421481
"ERF",0.922629961506227
"DHX38",0.922596751518812
"ORAI1",0.922508098595605
"MRPL12",0.922442580589437
"COX14",0.922413176311985
"MRPL4",0.922379273256666
"MRGBP",0.92236206900465
"UBXN1",0.922253012056971
"RNH1",0.922216874769513
"HNRNPU",0.922074087306878
"GLRX5",0.922058612500294
"PDRG1",0.921820297672011
"RAB34",0.921796458773267
"ETFB",0.921788287518847
"SPR",0.921637805499406
"ATP6V0B",0.921585786648912
"STOML2",0.921449344647534
"PRKAG1",0.921225533768037
"DPM2",0.921112140674261
"XAB2",0.920928294778291
"MYL9",0.920516672657597
"LRWD1",0.920483148509571
"PDXK",0.920335074442856
"IER2",0.920256186525059
"SURF2",0.920150100031662
"POFUT1",0.920127365288698
"DFFA",0.920058726334233
"SOD1",0.919951590794726
"LONP1",0.919870005164319
"REXO4",0.919673089563766
"MRPL54",0.919651822407968
"NDUFS2",0.919635015045029
"MAZ",0.919602652603489
"CLTA",0.919407057711081
"ECSIT",0.919369343557626
"CNBP",0.919359164248951
"NUDT1",0.919304687898468
"CFL1",0.919236525602644
"IFI27L2",0.919021313403527
"SF3B2",0.919017635085245
"PUF60",0.919008125668357
"S100A13",0.918933223337976
"AURKAIP1",0.918930707258344
"MTA2",0.918802466913317
"ZNHIT1",0.918644883596287
"VRK3",0.918588857220224
"TIMM10",0.918209131792512
"EIF6",0.917937033139003
"PSMG3",0.917935104685154
"FPGS",0.917811129394025
