"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Correlation"
"AARS2",1.68,7.14375,1.89306561895569,0.07842956411021,0.388806818833207,-4.55929557300802,0.861082302241024
"AATF",6.16249999999999,34.12875,1.65442665422414,0.119463604589914,0.473752003111306,-4.91263066936318,0.843345504907703
"ABCE1",7.63875,22.308125,1.58970527377839,0.133407584653401,0.493594436293717,-5.00307682116358,0.75074103343722
"ABHD11",6.42375,17.725625,4.63579106401372,0.00034998578672492,0.0476585908524438,0.40119644430307,0.5031230988851
"ABLIM3",-11.965,26.375,-1.64491992001492,0.121429468771814,0.477673568402764,-4.92606872033618,0.5442338518583
"ABT1",2.495,9.44,4.19073452866808,0.000839299137532003,0.0684709309902798,-0.414273448677895,0.617405822473138
"ACP1",12.57875,58.113125,4.44715218339435,0.000505846115594828,0.0543410714752822,0.0580736357696718,0.504795763402033
"ACTR5",0.94125,4.006875,3.27216477037648,0.00532827431815236,0.155470319561666,-2.13644215457599,0.682915196219312
"ACTR8",1.64125,8.748125,2.12262401981322,0.0514020766179306,0.339420282126911,-4.19375048992571,0.845508340226655
"ADAMTS5",0.405,0.44,1.59893610062517,0.131337209946688,0.491300994767039,-4.99032761044077,0.579811147167475
"ADAMTS6",0.98125,1.603125,1.82279037088763,0.0889647981742797,0.410647130693159,-4.666404886412,0.665622282240386
"ADAT1",1.9475,7.655,2.69659709964261,0.0169263356040015,0.23526697169921,-3.19959644566842,0.751311179596766
"AEN",5.9875,13.26625,1.82155318727492,0.0891610724376504,0.410838407930627,-4.66826864838797,0.798628130887285
"AGK",3.97375,16.184375,2.28610958129576,0.0377147047451996,0.306756244779536,-3.9206860688703,0.885490175996448
"AIMP2",10.8475,26.83375,3.15235772577558,0.00678808830891257,0.170019310426196,-2.36063971952103,0.876533412908163
"AKAP8",2.72875,10.963125,2.87644721239756,0.0118262004530175,0.205551167374856,-2.87196805247692,0.749415669890123
"ALG2",-2.78,14.10125,-1.79983266797038,0.0926702379355038,0.41875016947353,-4.70086324136153,0.526583169264256
"ALYREF",39.19,81.7875,3.85081691334521,0.00165580067753688,0.0927024693875741,-1.04853026804451,0.761557767748639
"AP4B1",3.6275,8.62875,5.66191622359402,5.08500015465609e-05,0.0191863412085368,2.18435439955473,0.663251754020678
"APTX",2.03625,16.885625,2.05004670249325,0.0588464633816001,0.354075846612677,-4.31174742177305,0.563290140576345
"AQR",1.50125,8.061875,1.60809588417347,0.12931004189865,0.487169143770623,-4.97762646852352,0.79258794679011
"ARHGAP19",1.0725,3.285,2.84330898839237,0.0126369892999051,0.212099714140186,-2.93273738846032,0.579859379022054
"ARID1B",2.09625,10.109375,2.85810728440994,0.0122684201816517,0.208632260948257,-2.90562052922056,0.728040748451757
"ARIH2",7.9225,31.62625,2.61057216959835,0.0200660582351954,0.252022455407506,-3.35416279851211,0.598849396038679
"ARMC6",4.54875,11.886875,2.34624722895844,0.0336025316452487,0.295712075134645,-3.81794819029449,0.917745014757452
"ARPC1A",34.21375,107.913125,2.93814553749504,0.0104500716883245,0.196110002688466,-2.75840424614478,0.756173085187222
"ATAD3A",7.2,22.07875,1.83348296103597,0.0872844282355252,0.407634935475399,-4.65026492702188,0.858772125882957
"ATAD3B",5.34125,15.011875,1.89346474030065,0.0783730711530652,0.388806818833207,-4.55868041486258,0.927829769537517
"ATP10D",0.918749999999998,4.559375,2.08310575751185,0.0553404238321412,0.348131440091667,-4.25826208485331,0.854049089920048
"ATP6V0A2",2.17125,5.696875,2.79934870870083,0.0137967754293238,0.218608112984086,-3.01308790117262,0.660612691103972
"ATRIP",2.3625,6.2625,2.26626793747858,0.0391722090576292,0.309532233090193,-3.95432616089557,0.922197822335827
"AUNIP",1.865,3.41125,2.02810276295322,0.061284998415914,0.358853089657491,-4.34700030479803,0.640348925021476
"BAHD1",1.48375,8.705625,2.73932602255987,0.0155490940937448,0.228416594617648,-3.12227122080724,0.538987437937454
"BAZ1B",9.64124999999999,29.808125,2.37564934084369,0.0317496507506534,0.290318579203886,-3.76730863934473,0.642271764047038
"BEND3",0.99125,1.114375,4.32810153916005,0.000639416448049751,0.0576696482599243,-0.160447781506009,0.506656974187411
"BRD9",4.51249999999999,15,2.12134781384702,0.0515251092287701,0.339581969884373,-4.1958434177583,0.72114518948989
"BRPF1",2.2125,8.34375,2.00312965767177,0.0641723662997332,0.365666397742136,-4.3868712758825,0.912947812268954
"BTG3",5.20249999999999,37.40375,1.72263408359507,0.106152022098942,0.446785794151508,-4.81472336887265,0.514366916679353
"BUD23",11.5125,64.65875,1.64272929322509,0.121886405237864,0.478639350664128,-4.92915787506537,0.716730305774848
"BUD31",24.16875,74.613125,4.18467251110208,0.000849466860024219,0.0687501416652171,-0.42551287997478,0.557262103221421
"C17orf51",1.81125,4.328125,2.23447922724414,0.0416178333014876,0.316506510992717,-4.00794514100192,0.770647135403359
"C19orf48",11.99375,28.733125,3.32188799702732,0.00481840667287519,0.149172928636654,-2.04314804314117,0.835555251449659
"C1orf109",2.62875,7.231875,3.70062483038986,0.0022405975494445,0.102089059370591,-1.33067297715651,0.573443740602241
"C1orf159",2.5175,7.875,3.02967588383756,0.00869348825682519,0.186328716945989,-2.58903471994534,0.53418936324073
"C1QBP",23.3375,103.17125,2.2643276822018,0.0393175355027863,0.310139322949026,-3.95760867977125,0.840470620393039
"C1QTNF2",0.94,1.8875,1.67697638816047,0.114910541200005,0.465580494781497,-4.88054996817702,0.878915174708909
"C4orf46",3.16125,7.498125,2.02072787112023,0.0621250748562639,0.360986622588214,-4.35880247773282,0.559212693096827
"C5",0.808749999999999,1.841875,2.3871689515899,0.0310504075337227,0.288386631201668,-3.74739767861914,0.738925909753311
"CAD",6.18375,11.819375,5.14860123471409,0.000131254378967714,0.0286719224770127,1.3113467217158,0.796591890349867
"CADPS2",1.8925,3.31125,4.0780547004915,0.00105035576762678,0.0756434014221246,-0.62366659187555,0.756265703855095
"CAPN15",3.05,10.69,3.01035253306405,0.00903830428369892,0.188348810910394,-2.62487234805137,0.693769762055547
"CAPRIN2",3.565,13.525,2.95299918061423,0.010142984320165,0.195373720836527,-2.73098786077751,0.51166732465992
"CARNMT1",1.23,4.77,1.84257779902776,0.085877479878123,0.404822237915847,-4.63649173556318,0.654793794879546
"CASP2",10.85625,17.873125,3.78475808958256,0.00189114398826865,0.0975567949237227,-1.1725305821225,0.772398933569335
"CASP6",3.38625,8.501875,2.35187086743041,0.0332404147182995,0.293967325605034,-3.80828284232799,0.766461478959036
"CBLL1",2.9725,9.9825,3.89156785173489,0.00152564888566899,0.0924114614326126,-0.972128833109388,0.716563660708195
"CBX5",5.03625,21.383125,1.88262045792468,0.0799210796768055,0.391642340399018,-4.5753674762962,0.841066013467126
"CCND1",46.13125,84.939375,2.31269490513781,0.035841584663251,0.30262328197489,-3.87541028580912,0.717173057005334
"CCNE1",3.29,9.2425,1.64079367564789,0.122291385470944,0.478789139808688,-4.93188512183673,0.551750739212385
"CCNE2",3.4325,7.1675,1.76214965139415,0.0990495540544726,0.432032042029897,-4.75683524194442,0.693401365982183
"CCNJ",1.3275,3.41875,2.99431581306876,0.00933467242800571,0.189309946479981,-2.65458275519225,0.648586192794264
"CCT3",22.01375,112.605625,1.92010300884303,0.0746843818016902,0.382958334884035,-4.51745329243718,0.861308966346399
"CCT4",21.635,82.98,2.52370458831966,0.0238022589002717,0.266456533961224,-3.50857573201326,0.607834026714267
"CCT6A",30.5825,96.485,2.12947022672862,0.0507466924857062,0.33833145392745,-4.18251221758191,0.66661118451587
"CD320",15.36625,38.645625,4.33071905565431,0.000636121368857011,0.0576696482599243,-0.155628043186763,0.531613341156871
"CD3EAP",2.22125,3.203125,2.97538875680074,0.0096967766756065,0.191228802081041,-2.68960942793779,0.764214221211961
"CDC123",7.50125000000001,49.318125,2.04024331635174,0.0599246710982916,0.356568594428238,-4.3275214737398,0.767054824200802
"CDC25A",4.4175,6.46,2.25223534101296,0.0402347103034636,0.312780556249044,-3.97803784365755,0.829955772447251
"CDC7",2.68625,6.049375,3.09650605439197,0.00759803018897069,0.178010966630886,-2.46479089027519,0.63781403375989
"CDCA5",16.1525,23.795,3.13949080212358,0.00696674769794418,0.172605701173006,-2.3846570190596,0.598490387881328
"CDCA8",14.05875,28.659375,1.76335814148982,0.0988390993903006,0.431824045627624,-4.75505174964573,0.681932324353831
"CDIPT",-13.4675,56.1725,-1.58472296894056,0.134536617104537,0.49534309257578,-5.00993700726685,0.521729444133506
"CDK13",1.72875,11.481875,1.72307394837128,0.10607056422829,0.446622061783415,-4.81408362026246,0.530710768631696
"CDK14",4.13875,8.620625,2.46987172322564,0.026442925474533,0.273974727270747,-3.60333754060997,0.501455773229838
"CDK5RAP1",2.45374999999999,12.926875,3.10707449984471,0.00743776141455936,0.177416773362613,-2.44510379265958,0.524288922086677
"CENPL",2.9075,5.67125,3.10659679881342,0.00744493298573112,0.177416773362613,-2.44599388040968,0.740060169745433
"CEP164",1.09625,6.089375,2.1876457128311,0.0454819875953351,0.325582718315855,-4.08629871403991,0.586353120775988
"CEP192",1.465,5.32,2.50822410998051,0.0245346101821343,0.266524059113723,-3.53590205307186,0.546994577010216
"CEP41",2.8125,7.55875,4.28024222396311,0.000702843798769804,0.0621498445901049,-0.248687719944055,0.635001023991285
"CEP89",1.6625,6.755,2.5945983843925,0.0207078726522777,0.254281371254428,-3.38268887978511,0.57622969462036
"CERS6",2.54625,12.690625,1.62303691064275,0.126061057085536,0.48384810197194,-4.95680275781471,0.67239335135164
"CFAP298",3.955,17.06,2.00115325949313,0.0644060950098335,0.365666397742136,-4.39001525514098,0.73931896772384
"CFAP97",3.4,8.72125,2.52766332058506,0.0236183661760813,0.265924319497221,-3.5015781068273,0.643242593805441
"CHAC2",1.77125,3.265625,3.44875827227778,0.00372747755617151,0.131480392382563,-1.80467541301957,0.644149452916238
"CHAF1B",4.80625,11.419375,1.61217512566709,0.128415934545598,0.486975090509961,-4.97195414510867,0.84772102208053
"CHAMP1",3.27125,10.544375,2.17612227127893,0.0464827103272778,0.328398592106907,-4.10545682227134,0.957438765723578
"CHERP",8.22125,19.425625,5.4875688981959,6.9896774042718e-05,0.0210481344152341,1.89238476424566,0.613440097822959
"CLDN12",3.76999999999999,14.75375,1.95044233274739,0.0706745940851946,0.374829973924428,-4.47009648361498,0.91526182664192
"CLP1",1.2575,6.35625,2.04005476181054,0.0599455852191533,0.356568594428238,-4.32782447244469,0.658159412204688
"CLUH",4.0625,17.57375,1.91508111848493,0.0753675719669755,0.383654278135353,-4.52525097365432,0.86671548365768
"CMBL",2.12,8.25875,2.35773677916734,0.032866627724139,0.293174786341993,-3.79819079876805,0.819960847045069
"CNOT10",4.47625,12.290625,3.08641778203389,0.00775420071999261,0.17996535787502,-2.48357395469468,0.801509152515688
"CNOT9",5.3825,26.75125,2.28138602062596,0.0380569914218858,0.307152482906316,-3.9287063623642,0.530331961785199
"CNRIP1",7.48125,32.534375,2.03853866882195,0.0601139905978363,0.356829031118496,-4.33026022457479,0.715603791654283
"COPS5",-3.47,24.31375,-1.59534576238905,0.13213919122703,0.491682942139766,-4.99529246200767,0.505365641778681
"CPEB1",-5.84,11.4075,-1.64937822748716,0.120504094603158,0.475686498988184,-4.91977322604976,0.522094600681372
"CPSF3",6.74625,22.974375,3.15739249581695,0.00671942219844171,0.169728668669425,-2.3512382664651,0.724775900803279
"CPSF4",12.02,19.84,3.00069258056765,0.00921569740136338,0.188807121760285,-2.6427723665894,0.536051703464371
"CRCP",3.9025,17.64125,2.18267013620152,0.0459115942821457,0.327302836913548,-4.09457673568783,0.62875198716423
"CREB3L4",0.530000000000001,2.5675,2.25362540799396,0.0401282665419801,0.312780556249044,-3.97569194381004,0.56863042925127
"CS",17.2075,80.3725,2.21172917828062,0.0434549495014699,0.321526482606495,-4.04610381872688,0.739164725089882
"CSTF2",3.01375,12.465625,1.73435991522708,0.103999189082142,0.442454619090128,-4.79763318377969,0.887100178900614
"CXorf57",1.345,3.86,3.13113831792844,0.00708520849387073,0.174348112815887,-2.40024046699247,0.569336571432027
"CYP27B1",0.765,1.30875,2.72999509783571,0.0158402466410033,0.229422217579224,-3.13918653834991,0.74976993670656
"DCAF1",2.7175,9.3325,2.30362636147262,0.0364704646233002,0.304200053379038,-3.89088003304235,0.752068748203777
"DCAF13",3.57624999999999,16.260625,1.64259622125276,0.121914210132479,0.478644756060986,-4.92934544000202,0.757702586392319
"DCLRE1B",2.6725,6.37,2.81215579792824,0.0134485796934159,0.216119988311851,-2.98971141837802,0.873097536536278
"DCTN5",3.69,13.48375,1.95150647627168,0.0705375573716744,0.374744998990436,-4.46842781765018,0.664553572676367
"DDX20",2.49625,5.913125,3.76177396952372,0.00198074374106094,0.0979410526867206,-1.21571217934934,0.671720270058435
"DDX28",1.0025,4.09375,2.16860044050091,0.0471469249287043,0.32968260902848,-4.11793579515272,0.754218957920014
"DDX51",2.05125,6.320625,2.35297692100795,0.0331696289946774,0.293758019913253,-3.80638072831271,0.637770279821191
"DDX55",2.59125,14.296875,1.91463750222052,0.0754281927261569,0.383654278135353,-4.52593922794624,0.744589895501022
"DENND1A",-5.87375,16.796875,-1.71415369780284,0.107733238001336,0.450079699545329,-4.82703680332343,0.556644909054491
"DHX30",8.125,25.995,3.64722341163467,0.00249556493009392,0.106274940610642,-1.43113808544868,0.717658520839928
"DHX33",3.14375,6.771875,4.41160747317077,0.000542424686379679,0.055501997147019,-0.00701846445900856,0.543941270326704
"DHX34",1.7275,6.52875,4.86750770588399,0.000223816629526837,0.0393547861879665,0.816808877084146,0.734302184213382
"DHX35",1.32125,5.346875,1.6466285286361,0.121074103456545,0.476897148260438,-4.92365737543414,0.532271645501644
"DHX57",1.98625,6.218125,5.42976996332669,7.77416396931214e-05,0.0219429033738746,1.79454407431332,0.503971628507736
"DIAPH1",6.9925,23.85375,1.87552072908838,0.0809493730732072,0.393894749805257,-4.58626191760822,0.738669773360006
"DIRAS3",6.66375,9.445625,2.26291685611436,0.0394235245749171,0.310519180183961,-3.95999471707355,0.524302061695036
"DKC1",9.21499999999999,26.73125,2.50860155776368,0.0245165001966208,0.266524059113723,-3.53523649659382,0.855070084376195
"DNAH10",0.22125,0.304375,1.600197674242,0.131056401381595,0.49111576358826,-4.98858124041713,0.609318073312767
"DNAJA3",7.08374999999999,19.490625,4.57714548455818,0.000392289614477209,0.0511133612071707,0.294958551561181,0.562004760398591
"DNAJB12",2.09874999999999,14.511875,1.68894224074258,0.112556298021291,0.459848209669207,-4.86341011960965,0.682220103852102
"DNAJC13",-6.78125,16.450625,-1.62814293172073,0.12496695395213,0.482360530228855,-4.94965637859641,0.505022880548075
"DNAJC9",10.82,25.0025,1.97503097461894,0.0675690362087517,0.369264578991159,-4.43140928090084,0.622784025608105
"DONSON",5.91,13.79875,3.08930367564012,0.00770920475375834,0.179692930882004,-2.47820175986668,0.672346401196214
"DPH1",2.59,13.96625,1.61794983792754,0.127159289197013,0.485451493812628,-4.96390746446655,0.684176942970465
"DPH2",6.1525,13.615,4.93163916940492,0.000197988377764805,0.0365894643846774,0.930601986044573,0.66677537953295
"DROSHA",4.78,16.45875,2.01981854197226,0.0622293825823135,0.360986622588214,-4.36025609143011,0.829594433942526
"DSCC1",2.00125,5.358125,1.59477736354127,0.132266539346526,0.491682942139766,-4.99607776121001,0.748641293783144
"DTWD1",1.0725,7.1375,1.59523805748305,0.132163314135866,0.491682942139766,-4.99544128176513,0.788094420208974
"EARS2",2.30625,6.979375,1.97996644605882,0.0669608237201533,0.368498170281281,-4.42361140386846,0.859334018112719
